dossierid,lat,lon,dist_m,value_schilling,in_kind_share,n_docs
HGB_1_148_024,47.559774,7.584482,416.8225317478352,41250.0,0.0,4
HGB_1_148_025,47.559774,7.584482,416.8225317478352,,,6
HGB_1_148_026,47.56096,7.585933,448.5743180415181,445.5,0.0,2
HGB_1_148_027,47.559737,7.584513,412.39670530732275,5.0,0.0,2
HGB_1_148_028,47.559705,7.584498,411.0464992612985,374.0,0.0,1
HGB_1_148_029,47.559679,7.584398,415.2341090325902,843.0,0.0,1
HGB_1_148_030,47.559683,7.584488,410.18821520832967,,,2
HGB_1_148_031,47.559628,7.584467,407.66413227878496,65.0,0.0,4
HGB_1_148_032,47.559597,7.584461,405.9763280250171,100.0,0.0,35
HGB_1_148_033,47.559617,7.584445,408.2861816585163,407.5,0.0,5
HGB_1_148_034,47.559574,7.584441,405.6842645998813,1.5,0.0,13
HGB_1_148_035,47.558067,7.584243,349.7376299997683,,,4
HGB_1_148_036,47.557844,7.584232,346.36050389805064,,,1
HGB_1_149_006,47.559382,7.584822,369.9431097441067,,,2
HGB_1_149_007,47.559127,7.585249,327.2848711221917,4.0,0.0,8
HGB_1_149_008,47.559204,7.585727,304.2047254295386,350.0,0.0,30
HGB_1_149_010,47.559022,7.585046,333.40125428894623,45.0,0.0,11
HGB_1_149_013,47.559281,7.584931,356.6837893221318,3760.0,0.0,8
HGB_1_149_014,47.559534,7.585001,369.6854001599543,5582.5,0.0,26
HGB_1_149_015,47.559491,7.585404,343.5693299272614,24137.5,0.0,10
HGB_1_149_016,47.5592,7.585708,304.985510891908,35.666666666666664,0.038461538461538464,18
HGB_1_149_017,47.559193,7.585772,300.88329530997254,10.0,0.0,1
HGB_1_149_018,47.559188,7.585906,292.92197635981245,,,1
HGB_1_149_021,47.559042,7.585404,312.2347895004998,,,1
HGB_1_149_022,47.559011,7.5853,316.74336186372363,7.0,0.0,2
HGB_1_149_023,47.559098,7.584778,355.0473285973509,20.0,0.0,6
HGB_1_149_024,47.559476,7.584808,377.01177187814955,30.0,0.0,11
HGB_1_149_025,47.559505,7.585163,358.2010622148454,30.0,0.0,9
HGB_1_149_026,47.559497,7.585348,347.09025349695236,7850.0,0.0,21
HGB_1_149_027,47.559494,7.585376,345.3278438603495,90.0,0.0,6
HGB_1_149_028,47.559515,7.585652,331.7906172236891,77.5,0.0,18
HGB_1_150_005,47.559073,7.583487,439.5171869125582,22.0,0.0,5
HGB_1_150_006,47.559028,7.583403,443.19143562557326,42.0,0.0,11
HGB_1_150_007,47.559411,7.584303,403.8596447316306,160.0,0.0,1
HGB_1_150_008,47.55903,7.583494,437.0625105264097,260.0,0.0,4
HGB_1_150_009,47.559144,7.583446,445.61223170048174,,,2
HGB_1_150_010,47.558682,7.582476,495.5668671053289,,,1
HGB_1_150_011,47.558473,7.583632,405.5283774795025,17133.333333333332,0.0,4
HGB_1_150_012,47.558565,7.583645,407.70614804993374,1.0,0.0,2
HGB_1_150_015,47.558214,7.58232,494.9633424493549,43.0,0.0,3
HGB_1_150_016,47.558627,7.582315,505.5279230243535,324.0,0.0,5
HGB_1_150_019,47.559608,7.583125,490.951546305696,3600.0,0.0,29
HGB_1_150_020,47.559585,7.583321,476.95516876171314,110.5,0.0,23
HGB_1_150_021,47.559515,7.583887,436.48561730609316,40.0,0.05555555555555555,12
HGB_1_150_022,47.559525,7.583831,440.6391081316189,20.0,0.020833333333333332,19
HGB_1_150_023,47.559523,7.583955,432.6484393107768,120.0,0.011764705882352941,17
HGB_1_150_024,47.559538,7.584166,420.2613985675008,125.0,0.0,21
HGB_1_150_025,47.559525,7.584287,411.94667842405636,6.0,0.0,41
HGB_1_150_026,47.558271,7.582754,464.1073725739404,,,2
HGB_1_150_027,47.558214,7.582565,476.82021242327403,588.5,0.0,2
HGB_1_150_029,47.55841,7.582336,498.1578338396894,,,1
HGB_1_150_030,47.559638,7.582861,509.92901327961255,4.0,0.06613756613756613,23
HGB_1_150_031,47.559548,7.583643,453.98826145734176,1870.5,0.0,26
HGB_1_150_032,47.55954,7.583704,449.6036029204603,16.0,0.16282051282051282,14
HGB_1_150_033,47.559561,7.583536,461.62477652866164,7.0,0.0,5
HGB_1_150_034,47.559546,7.584103,424.6967484484829,325.5,0.0625,12
HGB_1_150_035,47.559521,7.584242,414.4917370917854,25.0,0.0,71
HGB_1_150_036,47.559506,7.584381,404.93537571110306,2.0,0.0,37
HGB_1_151_005,47.555984,7.589064,160.9139096519094,,,2
HGB_1_151_006,47.556037,7.58951,162.9558027046615,,,5
HGB_1_151_007,47.555984,7.589173,162.18372462585208,,,1
HGB_1_151_008,47.555988,7.589376,165.09607733228017,11.5,0.0,44
HGB_1_151_009,47.555959,7.589428,169.26200415884887,2555.0,0.0,2
